5136,11,4.5
918,11,5
2824,11,4.5
3867,11,4
860,11,4
2968,11,5
3525,11,4
4323,11,5
4360,11,4
89,11,4
442,11,3
3556,11,4
2492,11,4.5
5062,11,4
2486,11,3.5
5136,12,5
918,12,5
3867,12,4
860,12,4
3712,12,4.5
2968,12,4.5
3525,12,4
4323,12,5
4360,12,4
2756,12,5
89,12,4.5
3556,12,4
2492,12,3.5
5062,12,4
2486,12,2
4942,12,3.5
2288,12,3.5
5136,13,5
918,13,4.5
2824,13,5
3867,13,4.5
860,13,4.5
2968,13,5
3525,13,4.5
4323,13,5
3617,13,5
4360,13,4.5
2756,13,4.5
89,13,5
442,13,3
3556,13,4
5261,13,5
2492,13,3.5
5062,13,4.5
2486,13,4.5
4942,13,4
2267,13,3.5
4809,13,4.5
3853,13,3.5
2288,13,3.5
5136,14,4
3712,14,4.5
2968,14,2
3525,14,3.5
4323,14,5
3617,14,3.5
4360,14,5
2756,14,3.5
442,14,4
3556,14,4
2492,14,3.5
5062,14,4.5
2486,14,3.5
4942,14,4
4809,14,3.5
1648,22,4
5136,22,5
918,22,3
2824,22,4.5
3867,22,4
860,22,2.5
2968,22,5
3525,22,3
4323,22,4
3617,22,4
4360,22,4.5
2756,22,4
442,22,1
3556,22,3
5261,22,1.5
2492,22,4
5062,22,4
2486,22,2.5
4942,22,3.5
4809,22,5
2288,22,3.5
1648,24,3
5136,24,5
2824,24,4
3867,24,3
860,24,3
2968,24,0.5
3525,24,3.5
4323,24,5
3617,24,4
4360,24,4
2756,24,4
89,24,5
442,24,5
3556,24,5
5261,24,0.5
2492,24,4
5062,24,4
2486,24,4.5
4942,24,4
2267,24,5
3853,24,5
2288,24,3
5136,38,5
918,38,5
2968,38,0.5
3525,38,4
4323,38,5
4360,38,3
89,38,5
442,38,3
5062,38,4
2486,38,3
4942,38,5
2267,38,1.5
4809,38,5
3853,38,5
5136,63,3
860,63,4
2968,63,2.5
3525,63,3.5
4323,63,2
442,63,2
5261,63,4
2492,63,4
2486,63,3.5
3853,63,4
2288,63,5
918,77,5
2824,77,5
860,77,4.5
2968,77,3
3525,77,4.5
4323,77,3.5
3617,77,3.5
4360,77,4
2756,77,4
442,77,4
5261,77,5
2492,77,4
5062,77,4
2486,77,4.5
4942,77,5
2267,77,4
3853,77,4.5
2288,77,5
5136,85,5
3867,85,4.5
2968,85,3
3525,85,4
4323,85,5
4360,85,4.5
442,85,5
3556,85,4
2492,85,5
5062,85,4
2486,85,4.5
4942,85,3.5
3853,85,4
2288,85,3
5136,98,3.5
2824,98,5
3867,98,4
860,98,4
2968,98,4.5
3525,98,3.5
4323,98,4
3617,98,5
4360,98,3
2756,98,5
442,98,4
3556,98,3.5
5261,98,3.5
2492,98,5
5062,98,4
2486,98,2
4942,98,4.5
2267,98,3
4809,98,4.5
3853,98,3
2288,98,4
1648,105,4.5
5136,105,5
918,105,5
860,105,4.5
2968,105,5
